pipeline_version,n,d,C,repeat,method,runtime_sec,n_times_d,orientation,solver,cond_raw,cond_reg,lambda_min_raw,lambda_min_reg,lambda_max_raw,lambda_max_reg,system_min_singular_value,solver_svd_tolerance,coef_fro_norm,mean_iter,converged,mean_huber_weight,frac_downweighted,ridge_lambda,huber_delta,residual_mode,effective_delta_on_l2_norm,error
main_corrected_inverse_map_2026-08-31_v2,500,100,3,2,AIME,0.00030700000934302807,50000,X ~= Y A^T,SVD normal-system solve,4.527734366405574,4.527734366405574,36.81995476207022,36.81995476207022,166.7109745457239,166.7109745457239,36.81995476207021,1.6671097454572382e-10,10.152356625102376,1,True,1.0,0.0,0.0,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,500,100,3,2,HuberAIME,0.0008280420443043113,50000,X ~= Y A^T,SVD normal-system solve,4.480796386363141,4.480796386363141,35.81955366626361,35.81955366626361,160.5001266289346,160.5001266289346,35.81955366626362,1.605001266289346e-10,10.0105528110423,5,True,0.9627622539504195,0.05,0.0,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,500,100,3,2,RidgeAIME,0.00027541699819266796,50000,X ~= Y A^T,SVD normal-system solve,4.527734366405574,4.526776522609888,36.81995476207022,36.82995476207026,166.7109745457239,166.7209745457239,36.82995476207024,1.6672097454572388e-10,10.150186613349474,1,True,1.0,0.0,0.01,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,500,100,3,2,HuberRidgeAIME,0.0008056670194491744,50000,X ~= Y A^T,SVD normal-system solve,4.48079639449066,4.479824906971164,35.819553387343774,35.82955338734379,160.5001256702757,160.51012567027576,35.8295533873438,1.605101256702758e-10,10.008337521805865,5,True,0.9627622482498497,0.05,0.01,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,500,300,3,0,AIME,0.0006252909079194069,150000,X ~= Y A^T,SVD normal-system solve,4.410712854484451,4.410712854484451,37.83197716733874,37.83197716733874,166.86598800254325,166.86598800254325,37.83197716733876,1.6686598800254322e-10,17.79860911323418,1,True,1.0,0.0,0.0,1.0,rms,17.320508075688775,
main_corrected_inverse_map_2026-08-31_v2,500,300,3,0,HuberAIME,0.0016572080785408616,150000,X ~= Y A^T,SVD normal-system solve,4.431701333405707,4.431701333405707,36.22467095570961,36.22467095570961,160.53692257660128,160.53692257660128,36.22467095570962,1.6053692257660123e-10,17.636033569764823,5,True,0.9623688691500658,0.05,0.0,1.0,rms,17.320508075688775,
main_corrected_inverse_map_2026-08-31_v2,500,300,3,0,RidgeAIME,0.00047437509056180716,150000,X ~= Y A^T,SVD normal-system solve,4.410712854484451,4.4098115504010496,37.83197716733874,37.841977167338754,166.86598800254325,166.87598800254324,37.84197716733873,1.6687598800254323e-10,17.795081790901886,1,True,1.0,0.0,0.01,1.0,rms,17.320508075688775,
main_corrected_inverse_map_2026-08-31_v2,500,300,3,0,HuberRidgeAIME,0.0014454160118475556,150000,X ~= Y A^T,SVD normal-system solve,4.431701340203102,4.430754263479242,36.224670895812196,36.23467089581221,160.5369225573872,160.54692255738715,36.23467089581221,1.6054692255738717e-10,17.63240614886885,5,True,0.9623688688798757,0.05,0.01,1.0,rms,17.320508075688775,
main_corrected_inverse_map_2026-08-31_v2,500,300,3,1,AIME,0.0006022920133545995,150000,X ~= Y A^T,SVD normal-system solve,4.812294087826135,4.812294087826135,34.78687482573964,34.78687482573964,167.40467205785467,167.40467205785467,34.786874825739645,1.6740467205785466e-10,17.770454062177965,1,True,1.0,0.0,0.0,1.0,rms,17.320508075688775,
main_corrected_inverse_map_2026-08-31_v2,500,300,3,1,HuberAIME,0.0018813329515978694,150000,X ~= Y A^T,SVD normal-system solve,4.748669641531057,4.748669641531057,33.91086319759071,33.91086319759071,161.03148658451178,161.03148658451178,33.910863197590714,1.6103148658451178e-10,17.393515893403496,5,True,0.9625313873778893,0.05,0.0,1.0,rms,17.320508075688775,
