pipeline_version,experiment_mode,subset,metric,role,direction,n_repeated_pairs,n_condition_clusters,HRA_mean,RidgeAIME_mean,HRA_minus_Ridge_cluster_mean,CI95_low,CI95_high,median_cluster_difference,wilcoxon_p_on_cluster_means
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.10,log10_cond_reg,conditioning diagnostic,lower is better,81,27,0.35143728515314643,0.33516982836063186,0.01626745679251456,0.003183144615280419,0.03063362457219219,0.004369506385197536,0.07722577452659607
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.10,log10_coef_norm,regularization diagnostic,diagnostic only,81,27,1.033772119365852,1.0799887671301343,-0.046216647764282144,-0.0624508110807035,-0.030998264189738105,-0.03137135871693294,8.195638656616211e-07
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,joint_high_stress,clean_target_reconstruction_r2,clean-target inverse reconstruction,higher is better,27,9,0.2925379896800651,0.25803293865824883,0.03450505102181631,0.01988486223095494,0.052362136173517454,0.027589272921362373,0.00390625
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,joint_high_stress,clean_target_reconstruction_cosine,clean-target inverse reconstruction,higher is better,27,9,0.5128775210917295,0.48955472259973554,0.023322798491993823,0.013732878431178553,0.033534427437925285,0.016917451414623936,0.00390625
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,joint_high_stress,operator_cosine_flat,clean-reference operator recovery,higher is better,27,9,0.9878133029021297,0.9409645125637405,0.046848790338388874,0.0248127455704744,0.0715268222977466,0.04656268280136422,0.00390625
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,joint_high_stress,operator_spearman_global,clean-reference operator recovery,higher is better,27,9,0.9475604280124323,0.8636391220380096,0.08392130597442285,0.045317182421180144,0.12326098338562803,0.07414456816406256,0.0078125
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,joint_high_stress,operator_topk_jaccard,clean-reference operator recovery,higher is better,27,9,0.6334210292758625,0.44928239338284054,0.18413863589302185,0.09957539816500943,0.2722927392238536,0.1933621933621934,0.0078125
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,joint_high_stress,bootstrap_cosine_flat,self-consistency/stability,higher is better,27,9,0.9753264292971638,0.9382647823228001,0.03706164697436374,0.022618529083384624,0.051930849706272264,0.03524590631782002,0.00390625
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,joint_high_stress,irrelevant_decoy_mass_ratio,irrelevant-decoy attribution,lower is better,27,9,0.013430245420421396,0.016161819543199143,-0.0027315741227777438,-0.004448443156519391,-0.0011904361330097042,-0.0025555064557456694,0.00390625
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,joint_high_stress,irrelevant_decoy_topk_infiltration,irrelevant-decoy attribution,lower is better,27,9,0.012345679012345678,0.019753086419753086,-0.007407407407407408,-0.019753086419753086,0.0049382716049382715,0.0,0.5
