pipeline_version,method,ridge_lambda,huber_delta,log10_cond_reg__mean,log10_cond_reg__std,log10_cond_reg__count,log10_coef_norm__mean,log10_coef_norm__std,log10_coef_norm__count,clean_target_reconstruction_r2__mean,clean_target_reconstruction_r2__std,clean_target_reconstruction_r2__count,clean_target_reconstruction_cosine__mean,clean_target_reconstruction_cosine__std,clean_target_reconstruction_cosine__count,operator_cosine_flat__mean,operator_cosine_flat__std,operator_cosine_flat__count,clone_mass_ratio__mean,clone_mass_ratio__std,clone_mass_ratio__count,clone_topk_infiltration__mean,clone_topk_infiltration__std,clone_topk_infiltration__count,irrelevant_decoy_mass_ratio__mean,irrelevant_decoy_mass_ratio__std,irrelevant_decoy_mass_ratio__count,irrelevant_decoy_topk_infiltration__mean,irrelevant_decoy_topk_infiltration__std,irrelevant_decoy_topk_infiltration__count,outlier_weight_ap__mean,outlier_weight_ap__std,outlier_weight_ap__count,bootstrap_cosine_flat__mean,bootstrap_cosine_flat__std,bootstrap_cosine_flat__count,frac_downweighted__mean,frac_downweighted__std,frac_downweighted__count
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,0.1,2.0,0.26583990080847303,0.15537651967343702,27,1.0404606411554775,0.4661851781245288,27,0.28148678295672774,0.20143286087577902,27,0.4923059453144763,0.22310057265160296,27,0.9826193142546202,0.01906166474011125,27,0.2711441247052168,0.09541403335539186,27,0.11051146384479717,0.09989318610116649,27,0.017119951306921604,0.014736616649392926,27,0.019753086419753086,0.04826853238643276,27,0.932237865350457,0.0781738304594867,27,0.9607971005529358,0.03868271364197614,27,0.1038299270325414,0.014012710114786452,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,1.0,0.5,0.33313172358630655,0.12687879376804068,27,1.0062386538711192,0.4732898574674272,27,0.2822718168143302,0.19951497387027994,27,0.493587679274876,0.22140604687797288,27,0.9809076911435533,0.019670779128510046,27,0.2701328935606118,0.09619562731902401,27,0.10590828924162257,0.09217834540675333,27,0.01392167876308609,0.011915912236748802,27,0.007407407407407408,0.02824395152454411,27,0.9700083147594388,0.03446848103722685,27,0.9704254150898833,0.03222711468407725,27,0.8009423522495418,0.12280526613170334,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,1.0,1.0,0.2693345949644768,0.14532039085607523,27,1.0172540662025926,0.472653025839528,27,0.28475223559397794,0.1999112922582647,27,0.4959788330912706,0.22082882828326905,27,0.9890931348874711,0.012006167752363652,27,0.2715139065731118,0.09671894898355476,27,0.11403880070546737,0.09838397443404168,27,0.014921113322495736,0.012898809557884515,27,0.0049382716049382715,0.025660011963983365,27,0.9704387917302207,0.03444841713392716,27,0.9694106175873713,0.03261279390811375,27,0.20560958951481825,0.04289829870265262,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,1.0,2.0,0.2605516282388319,0.1497318686250155,27,1.030762599959216,0.4689021550211747,27,0.28163475682625244,0.20117359370165952,27,0.4921423998454912,0.22323875276974225,27,0.9825155486929984,0.019170159233689414,27,0.2711424892222032,0.09539238410958754,27,0.11051146384479717,0.09989318610116649,27,0.017168984224469455,0.014774980570833766,27,0.019753086419753086,0.04826853238643276,27,0.932237865350457,0.0781738304594867,27,0.9606035083431785,0.0388398274467306,27,0.1038299270325414,0.014012710114786452,27
r5_final_inverse_map_complete_2026-08-31,RidgeAIME,0.0,1.0,0.2674936903521779,0.1571544030430544,27,1.070553713996292,0.447137704461011,27,0.25378177560285337,0.2052959069883051,27,0.4690995787744826,0.22833393702679752,27,0.9211985603149628,0.0747257594365002,27,0.2730722972658673,0.09391020779424678,27,0.1246384479717813,0.09772607307326873,27,0.017819656939759308,0.014319047502297426,27,0.024691358024691357,0.052779652088475945,27,0.09947695127433688,0.009791219714393553,27,0.9259017995366341,0.05571415588858967,27,0.0,0.0,27
r5_final_inverse_map_complete_2026-08-31,RidgeAIME,1e-06,1.0,0.26749368451816025,0.15715439669062833,27,1.0705537036941117,0.447137707297619,27,0.2537817769537898,0.20529590638311768,27,0.4690995784284977,0.22833393725428275,27,0.9211985599111032,0.0747257597576346,27,0.27307229725628124,0.09391020778112708,27,0.1246384479717813,0.09772607307326873,27,0.01781965698518909,0.014319047531619885,27,0.024691358024691357,0.052779652088475945,27,0.09947695127433688,0.009791219714393553,27,0.9259017992131158,0.05571415609040592,27,0.0,0.0,27
r5_final_inverse_map_complete_2026-08-31,RidgeAIME,1e-05,1.0,0.267493632012016,0.15715433951881994,27,1.070553610974507,0.44713773282709035,27,0.2537817891121917,0.2052959009364255,27,0.469099575314633,0.2283339393016493,27,0.9211985562763672,0.0747257626478443,27,0.2730722971700066,0.09391020766305005,27,0.1246384479717813,0.09772607307326873,27,0.01781965739405709,0.01431904779552195,27,0.024691358024691357,0.052779652088475945,27,0.09947695127433688,0.009791219714393553,27,0.9259017963014524,0.055714157906752215,27,0.0,0.0,27
r5_final_inverse_map_complete_2026-08-31,RidgeAIME,0.0001,1.0,0.2674931069520704,0.1571537678032933,27,1.0705526837801986,0.4471379881217463,27,0.2537819106936715,0.2052958464690227,27,0.46909954417597843,0.22833395977528026,27,0.9211985199290283,0.07472579154991797,27,0.27307229630726115,0.09391020648228109,27,0.1246384479717813,0.09772607307326873,27,0.017819661482731782,0.014319050434539007,27,0.024691358024691357,0.052779652088475945,27,0.09947695127433688,0.009791219714393553,27,0.9259017671848297,0.05571417607020731,27,0.0,0.0,27
r5_final_inverse_map_complete_2026-08-31,RidgeAIME,0.001,1.0,0.267487856502245,0.1571480509037881,27,1.0705434120108284,0.447140541062413,27,0.2537831262546097,0.20529530174691235,27,0.4690992327886803,0.22833416450812713,27,0.9211981564578421,0.07472608056840774,27,0.27307228767989594,0.09391019467481758,27,0.1246384479717813,0.09772607307326873,27,0.017819702368950866,0.014319076824349991,27,0.024691358024691357,0.052779652088475945,27,0.09947695127433688,0.009791219714393553,27,0.9259014760197497,0.05571435770407239,27,0.0,0.0,27
r5_final_inverse_map_complete_2026-08-31,RidgeAIME,0.01,1.0,0.2674353669612515,0.15709090747127272,27,1.0704507116826212,0.4471660698763677,27,0.2537952565045635,0.20528984972425726,27,0.469096118840594,0.22833621149042346,27,0.9211945219661942,0.07472897052859709,27,0.2730722014151128,0.09391007662277263,27,0.1246384479717813,0.09772607307326873,27,0.017820111178359993,0.014319340686505625,27,0.024691358024691357,0.052779652088475945,27,0.09947695127433688,0.009791219714393553,27,0.9258985644838128,0.05571617397404168,27,0.0,0.0,27
