pipeline_version,dataset,learner,repeat,condition,method,outlier_rate,clone_frac,n_outlier_rows,n_clones,d_original,d_total,model_fit_time_sec,model_test_accuracy,explain_time_sec,added_clone_mass,bootstrap_cosine,bootstrap_spearman,bootstrap_topk,noise_cosine,noise_spearman,noise_topk,implementation,error
r5_final_inverse_map_complete_2026-08-31,har,lgbm,0,joint_high_stress,LIME,0.1,0.5,300,100,561,661,11.998012625030242,0.9766666666666667,0.22087579197250307,0.14536158636778407,0.878864315843782,0.8216605071739682,0.552880452880453,0.8454078124235244,0.42831785049192406,0.5811965811965812,lime.lime_tabular.LimeTabularExplainer,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,0,joint_high_stress,SHAP_TreeSHAP,0.1,0.5,300,100,561,661,11.998012625030242,0.9766666666666667,0.007012374931946397,0.09739667815615911,0.9189141853532199,0.9510009552495304,0.5719280719280719,0.9947075774635735,0.947212332012438,0.8888888888888888,LightGBM native TreeSHAP pred_contrib=True,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,1,clean,AIME,0.0,0.0,0,0,561,561,11.036529707955196,0.9733333333333334,0.0017849169671535492,0.0,0.9964192946721573,0.9927140599298072,0.5174408924408924,0.9999225581541134,0.9999350354521788,0.8787878787878789,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,1,clean,HuberAIME,0.0,0.0,0,0,561,561,11.036529707955196,0.9733333333333334,0.006387708010151982,0.0,0.9967027220438844,0.9942791229013835,0.5500146911911619,0.9999195698915858,0.9999362022086631,0.9393939393939394,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,1,clean,RidgeAIME,0.0,0.0,0,0,561,561,11.036529707955196,0.9733333333333334,0.0016105840913951397,0.0,0.99641927894389,0.9927146240511717,0.5174408924408924,0.9999225583113674,0.9999348542084533,0.8787878787878789,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,1,clean,HuberRidgeAIME,0.0,0.0,0,0,561,561,11.036529707955196,0.9733333333333334,0.00640495796687901,0.0,0.996702705077432,0.994279727802606,0.5500146911911619,0.9999195697658966,0.9999359983094718,0.9393939393939394,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,1,clean,LIME,0.0,0.0,0,0,561,561,11.036529707955196,0.9733333333333334,0.19901904196012765,0.0,0.8582952595002278,0.8031130714771908,0.34319650937297996,0.7876541804039331,0.3407067383088816,0.20098039215686278,lime.lime_tabular.LimeTabularExplainer,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,1,clean,SHAP_TreeSHAP,0.0,0.0,0,0,561,561,11.036529707955196,0.9733333333333334,0.007448500022292137,0.0,0.9373368273506146,0.9550347253838023,0.6888111888111889,0.9986605925090569,0.9722406940049654,0.8181818181818182,LightGBM native TreeSHAP pred_contrib=True,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,1,joint_high_stress,AIME,0.1,0.5,300,100,561,661,11.753473042044789,0.9744444444444444,0.0024413339560851455,0.14515792468583325,0.9807472755571848,0.9651147649832698,0.24857609710550888,0.999317597997659,0.9997713606024735,1.0,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,1,joint_high_stress,HuberAIME,0.1,0.5,300,100,561,661,11.753473042044789,0.9744444444444444,0.007473290897905827,0.1453360164478416,0.995670403724932,0.9916374614046367,0.4032051282051282,0.999830217161631,0.9998999460257009,1.0,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,1,joint_high_stress,RidgeAIME,0.1,0.5,300,100,561,661,11.753473042044789,0.9744444444444444,0.0019657500088214874,0.14515791351228285,0.9807472604007025,0.9651131943685568,0.24857609710550888,0.9993175967119691,0.9997716376068321,1.0,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,1,joint_high_stress,HuberRidgeAIME,0.1,0.5,300,100,561,661,11.753473042044789,0.9744444444444444,0.007663166965357959,0.14533601217284042,0.995670418649915,0.9916384046044774,0.4032051282051282,0.9998302154769788,0.999900292281149,1.0,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,1,joint_high_stress,LIME,0.1,0.5,300,100,561,661,11.753473042044789,0.9744444444444444,0.2185417499858886,0.12980341637113738,0.8815628106359512,0.8076146901301365,0.5201465201465202,0.7812696440405339,0.36085389757912373,0.5811965811965812,lime.lime_tabular.LimeTabularExplainer,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,1,joint_high_stress,SHAP_TreeSHAP,0.1,0.5,300,100,561,661,11.753473042044789,0.9744444444444444,0.007240292034111917,0.09281542700448775,0.9107961071018291,0.9123017201334676,0.6177156177156177,0.9977198175683193,0.9746630622859537,0.8181818181818182,LightGBM native TreeSHAP pred_contrib=True,
