dataset,learner,repeat,outlier_rate,clone_frac,condition,method,n_total,n_test,d_before,d_after,n_outlier_rows,n_clones,fit_time_sec,test_accuracy,test_log_loss,explain_time_sec,cond_raw_median,cond_reg_median,lambda_min_raw_median,lambda_min_reg_median,mean_iter,mean_huber_weight,frac_downweighted,coef_l2_norm_mean,bootstrap_topk_jaccard,bootstrap_spearman_global,bootstrap_cosine_flat,bootstrap_relative_l2_similarity,noise_topk_jaccard,noise_spearman_global,noise_cosine_flat,noise_relative_l2_similarity,decoy_decoy_mass_ratio,decoy_decoy_resistance_mass,decoy_decoy_topk_infiltration,decoy_decoy_best_rank,decoy_decoy_best_rank_percentile,error
breast_cancer,svm,0,0.05,0.0,out0.05_clone0.00,HuberRidgeAIME,569,171,30,30,28,0,0.003931958053726703,0.9649122807017544,0.09907924087250863,0.0005624579498544335,4352.774438952406,4238.961470127644,0.3723619121717102,0.3823619121717697,2.0,1.0,0.0,1.0370981627257172,0.4924450549450549,0.49276974416017794,0.6858306577249533,0.05057590319695246,0.9318181818181819,0.9708008898776418,0.9932991381055489,0.876601290762025,0.09697288205612181,0.9030271179438781,0.3611111111111111,4.666666666666667,0.8854166666666666,
breast_cancer,mlp,0,0.05,0.0,out0.05_clone0.00,AIME,569,171,30,30,28,0,0.014271624968387187,0.9298245614035088,0.39783334941267884,0.0006484169862233102,4352.774438952406,4352.774438952406,0.3723619121717102,0.3723619121717102,1.0,1.0,0.0,0.34872675155102795,0.5564713064713065,0.6357804968483499,0.785283103889291,0.24173170858044424,0.9090909090909092,0.9751946607341491,0.9960296504019666,0.9098625285167417,0.09718531654185901,0.902814683458141,0.2777777777777778,6.666666666666667,0.8229166666666666,
breast_cancer,mlp,0,0.05,0.0,out0.05_clone0.00,HuberAIME,569,171,30,30,28,0,0.014271624968387187,0.9298245614035088,0.39783334941267884,0.0005807499983347952,4352.774438952406,4352.774438952406,0.3723619121717102,0.3723619121717102,2.0,1.0,0.0,0.34872675155102795,0.5564713064713065,0.6357804968483499,0.785283103889291,0.24173170858044424,0.9090909090909092,0.9751946607341491,0.9960296504019666,0.9098625285167417,0.09718531654185901,0.902814683458141,0.2777777777777778,6.666666666666667,0.8229166666666666,
breast_cancer,mlp,0,0.05,0.0,out0.05_clone0.00,RidgeAIME,569,171,30,30,28,0,0.014271624968387187,0.9298245614035088,0.39783334941267884,0.0006355830118991435,4352.774438952406,4238.961470127644,0.3723619121717102,0.3823619121717697,1.0,1.0,0.0,0.34496534084415953,0.5537240537240538,0.6305524657026326,0.795079825553184,0.2761453677113929,0.9318181818181819,0.9758064516129032,0.9960783481228503,0.9106322399766488,0.08398349384552674,0.916016506154473,0.25000000000000006,7.75,0.7890625,
breast_cancer,mlp,0,0.05,0.0,out0.05_clone0.00,HuberRidgeAIME,569,171,30,30,28,0,0.014271624968387187,0.9298245614035088,0.39783334941267884,0.0005865409621037543,4352.774438952406,4238.961470127644,0.3723619121717102,0.3823619121717697,2.0,1.0,0.0,0.34496534084415953,0.5537240537240538,0.6305524657026326,0.795079825553184,0.2761453677113929,0.9318181818181819,0.9758064516129032,0.9960783481228503,0.9106322399766488,0.08398349384552674,0.916016506154473,0.25000000000000006,7.75,0.7890625,
breast_cancer,lgbm,0,0.05,0.25,out0.05_clone0.25,AIME,569,171,30,38,28,8,0.9031367910210975,0.9649122807017544,0.16295736418543963,0.0008134999661706388,905810.9087833236,905810.9087833236,0.0025132218279870196,0.0025132218279870196,1.0,1.0,0.0,6.611288276953004,0.5877178377178377,0.7743188532662216,0.7191802599841556,0.08329432433549201,0.4734432234432234,0.7841394025604552,0.5687188718475565,0.1789901311926937,0.034833555352711564,0.9651664446472884,0.13888888888888887,15.916666666666666,0.6270833333333333,
breast_cancer,lgbm,0,0.05,0.25,out0.05_clone0.25,HuberAIME,569,171,30,38,28,8,0.9031367910210975,0.9649122807017544,0.16295736418543963,0.0010752080124802887,902320.844062065,902320.844062065,0.002512335731796873,0.002512335731796873,7.5,0.9992434383244888,0.014619883040935672,6.568780630971962,0.6060328560328561,0.7797169639274903,0.7168099742858716,0.06682363232598172,0.49358974358974356,0.7889812889812889,0.5732439675299186,0.18303940458460047,0.03448369045822259,0.9655163095417775,0.13888888888888887,16.25,0.61875,
breast_cancer,lgbm,0,0.05,0.25,out0.05_clone0.25,RidgeAIME,569,171,30,38,28,8,0.9031367910210975,0.9649122807017544,0.16295736418543963,0.0005537920515052974,905810.9087833236,181928.6654773623,0.0025132218279870196,0.01251322182796025,1.0,1.0,0.0,3.801673215874769,0.5877178377178377,0.7448116132326659,0.7723385995957236,0.2366922688123869,0.5300428737928737,0.7531458584090163,0.6513132725515264,0.2667991122758677,0.045515017690973845,0.9544849823090261,0.13888888888888887,15.25,0.6437499999999999,
breast_cancer,lgbm,0,0.05,0.25,out0.05_clone0.25,HuberRidgeAIME,569,171,30,38,28,8,0.9031367910210975,0.9649122807017544,0.16295736418543963,0.0011074999929405749,902160.8599486349,181145.61084020138,0.002512351319741363,0.012512351319693218,6.5,0.9992621406651301,0.008771929824561403,3.7936733580215103,0.5678765678765679,0.7527081737608053,0.7707374742164639,0.23428495240046565,0.5300428737928737,0.7632399606083816,0.6559196341015262,0.2707686313305093,0.0459449205659804,0.9540550794340197,0.13888888888888887,14.25,0.6687499999999998,
breast_cancer,svm,0,0.05,0.25,out0.05_clone0.25,AIME,569,171,30,38,28,8,0.004142749996390194,0.9707602339181286,0.07394718346929412,0.00076299998909235,905810.9087833236,905810.9087833236,0.0025132218279870196,0.0025132218279870196,1.0,1.0,0.0,8.070023707689352,0.6727994227994228,0.7576321260531786,0.7981515634080488,0.21051485093153213,0.36046245421245415,0.606767698872962,0.5216198443379902,0.1416397005990419,0.028265367027059635,0.9717346329729405,0.05555555555555555,15.583333333333334,0.6354166666666666,
breast_cancer,svm,0,0.05,0.25,out0.05_clone0.25,HuberAIME,569,171,30,38,28,8,0.004142749996390194,0.9707602339181286,0.07394718346929412,0.0009524589986540377,905444.3272113577,905444.3272113577,0.002513168847966772,0.002513168847966772,6.0,0.9999508964790165,0.0029239766081871343,8.06060857025935,0.6621156621156622,0.7559908086223874,0.7973009076911747,0.20740402287000437,0.3500457875457875,0.6069865411970675,0.5213350760275636,0.14172349512806592,0.028303199740318197,0.9716968002596817,0.05555555555555555,15.416666666666666,0.6395833333333333,
breast_cancer,svm,0,0.05,0.25,out0.05_clone0.25,RidgeAIME,569,171,30,38,28,8,0.004142749996390194,0.9707602339181286,0.07394718346929412,0.0005649999948218465,905810.9087833236,181928.6654773623,0.0025132218279870196,0.01251322182796025,1.0,1.0,0.0,3.3478164936759875,0.6182428682428682,0.7418207681365576,0.7470130711879731,0.16411521078906197,0.5077838827838828,0.6452292373345005,0.6730098352936943,0.28505301998828037,0.04200420573351623,0.957995794266484,0.1111111111111111,13.416666666666666,0.6895833333333333,
breast_cancer,svm,0,0.05,0.25,out0.05_clone0.25,HuberRidgeAIME,569,171,30,38,28,8,0.004142749996390194,0.9707602339181286,0.07394718346929412,0.0011985420132987201,904835.213100162,181724.47332581095,0.0025130792883067557,0.012513079288256405,6.5,0.9998692219423841,0.0029239766081871343,3.345141132575918,0.6182428682428682,0.7422219790640842,0.7469475853170727,0.16444820283480513,0.5196886446886446,0.6432049458365248,0.6737823664986635,0.2857313578843637,0.0420849825330784,0.9579150174669216,0.1111111111111111,13.583333333333334,0.6854166666666667,
