dataset,learner,repeat,outlier_rate,clone_frac,condition,method,n_total,n_test,d_before,d_after,n_outlier_rows,n_clones,fit_time_sec,test_accuracy,test_log_loss,explain_time_sec,cond_raw_median,cond_reg_median,lambda_min_raw_median,lambda_min_reg_median,mean_iter,mean_huber_weight,frac_downweighted,coef_l2_norm_mean,bootstrap_topk_jaccard,bootstrap_spearman_global,bootstrap_cosine_flat,bootstrap_relative_l2_similarity,noise_topk_jaccard,noise_spearman_global,noise_cosine_flat,noise_relative_l2_similarity,decoy_decoy_mass_ratio,decoy_decoy_resistance_mass,decoy_decoy_topk_infiltration,decoy_decoy_best_rank,decoy_decoy_best_rank_percentile,error,log10_cond_raw,log10_cond_reg,log10_coef_l2_norm,stress_group
breast_cancer,mlp,0,0.0,0.25,out0.00_clone0.25,AIME,569,171,30,38,0,8,0.0232378750224597,0.95906432748538,0.1055302132075203,0.0008872500038705,748700.8295979791,748700.8295979791,0.0041665119456954,0.0041665119456954,1.0,1.0,0.0,4.280092124422764,0.432997557997558,0.7583980741875479,0.5984764291901321,-0.3689893388979972,0.369047619047619,0.7647445015866068,0.4022360266688758,0.0943408976332146,0.0199490723776632,0.9800509276223368,0.0,18.916666666666668,0.5520833333333334,,5.874308314348321,5.874308314348321,0.6314531168397783,all conditions
breast_cancer,mlp,0,0.0,0.25,out0.00_clone0.25,HuberAIME,569,171,30,38,0,8,0.0232378750224597,0.95906432748538,0.1055302132075203,0.0006632499862462,748700.8295979791,748700.8295979791,0.0041665119456954,0.0041665119456954,2.0,1.0,0.0,4.280092124422764,0.432997557997558,0.7590910748805486,0.5978995840459101,-0.369882381617594,0.369047619047619,0.7647445015866068,0.4022360266688758,0.0943408976332146,0.0199490723776632,0.9800509276223368,0.0,18.916666666666668,0.5520833333333334,,5.874308314348321,5.874308314348321,0.6314531168397783,all conditions
breast_cancer,mlp,0,0.0,0.25,out0.00_clone0.25,RidgeAIME,569,171,30,38,0,8,0.0232378750224597,0.95906432748538,0.1055302132075203,0.0006209999555721,748700.8295979791,220201.06023495307,0.0041665119456954,0.0141665119456899,1.0,1.0,0.0,2.3260382145321783,0.4677197802197801,0.7415289783710836,0.7183591562689395,0.0144424533051871,0.4373855311355311,0.7673432541853594,0.4987605584550866,0.1121281869582551,0.0288477227914754,0.9711522772085246,0.0833333333333333,16.083333333333332,0.6229166666666667,,5.874308314348321,5.342819405703313,0.3666168454844854,all conditions
breast_cancer,mlp,0,0.0,0.25,out0.00_clone0.25,HuberRidgeAIME,569,171,30,38,0,8,0.0232378750224597,0.95906432748538,0.1055302132075203,0.000667083018925,748700.8295979791,220201.06023495307,0.0041665119456954,0.0141665119456899,2.0,1.0,0.0,2.3260382145321783,0.4677197802197801,0.7437538753328227,0.7183549242800936,0.0143664307786868,0.4373855311355311,0.7673432541853594,0.4987605584550866,0.1121281869582551,0.0288477227914754,0.9711522772085246,0.0833333333333333,16.083333333333332,0.6229166666666667,,5.874308314348321,5.342819405703313,0.3666168454844854,all conditions
breast_cancer,lgbm,0,0.0,0.5,out0.00_clone0.50,AIME,569,171,30,45,0,15,0.9906615419895388,0.9707602339181286,0.1549267791026543,0.0009874170063994,1060020.7629879226,1060020.7629879226,0.0026968600928576,0.0026968600928576,1.0,1.0,0.0,10.989247190210952,0.5133130758130758,0.6937747035573123,0.7087624234060215,0.061194462462134,0.2848235785542287,0.6216238471673253,0.2640136057068845,0.0318301895040867,0.0194898987444926,0.9805101012555072,0.0277777777777777,20.583333333333332,0.5833333333333334,,6.0253143720221,6.0253143720221,1.040967942438461,all conditions
breast_cancer,lgbm,0,0.0,0.5,out0.00_clone0.50,HuberAIME,569,171,30,45,0,15,0.9906615419895388,0.9707602339181286,0.1549267791026543,0.0013971669832244,1059486.484882441,1059486.484882441,0.0026968448432914,0.0026968448432914,10.5,0.9998492789715924,0.0058479532163742,10.981429425619082,0.5053765678765679,0.6949824330259112,0.7067219383348835,0.0566379617372673,0.2848235785542287,0.6249176548089591,0.2652737028503675,0.0319678104985117,0.0195341885764765,0.9804658114235236,0.0277777777777777,20.5,0.5851063829787234,,6.025095421095502,6.025095421095502,1.040658874836609,all conditions
breast_cancer,lgbm,0,0.0,0.5,out0.00_clone0.50,RidgeAIME,569,171,30,45,0,15,0.9906615419895388,0.9707602339181286,0.1549267791026543,0.0007323749596253,1060020.7629879226,225153.12229685736,0.0026968600928576,0.012696860092988,1.0,1.0,0.0,4.167891801763548,0.3946245747716335,0.5698067632850241,0.6702184435906963,0.081161653307506,0.2726356568268333,0.4856554677206851,0.3576301335826153,-0.0186436234620716,0.036915892582542,0.963084107417458,0.0555555555555555,14.833333333333334,0.7056737588652483,,6.0253143720221,5.352477973892307,0.6199164361775129,all conditions
breast_cancer,lgbm,0,0.0,0.5,out0.00_clone0.50,HuberRidgeAIME,569,171,30,45,0,15,0.9906615419895388,0.9707602339181286,0.1549267791026543,0.0017323339707218,1059355.8946992927,225009.08675457537,0.0026968172508516,0.0126968172507886,10.0,0.9997441128144604,0.0116959064327485,4.162445064680421,0.3819983121453709,0.5794905577514272,0.6669562968284559,0.0753107234161188,0.2726356568268333,0.5008399209486166,0.3593664871015197,-0.0191536248866732,0.0371077677721701,0.96289223222783,0.0833333333333333,14.666666666666666,0.7092198581560284,,6.025041887527785,5.352200056989964,0.6193485147993992,all conditions
breast_cancer,svm,0,0.0,0.5,out0.00_clone0.50,AIME,569,171,30,45,0,15,0.0048527920152992,0.9649122807017544,0.0985555585588771,0.0007861250196583,1060020.7629879226,1060020.7629879226,0.0026968600928576,0.0026968600928576,1.0,1.0,0.0,8.086247336784641,0.387591575091575,0.7109574000878348,0.6339883401645247,-0.1798647411479265,0.267827964519141,0.5929347826086955,0.365757029672771,0.0694398231268099,0.0190036965887081,0.9809963034112918,0.0,23.416666666666668,0.523049645390071,,6.0253143720221,6.0253143720221,0.9077470211131544,all conditions
breast_cancer,svm,0,0.0,0.5,out0.00_clone0.50,HuberAIME,569,171,30,45,0,15,0.0048527920152992,0.9649122807017544,0.0985555585588771,0.0008177910349331,1060020.7629879226,1060020.7629879226,0.0026968600928576,0.0026968600928576,2.0,1.0,0.0,8.086247336784641,0.387591575091575,0.7092226613965744,0.6341620166726593,-0.1796634422152284,0.267827964519141,0.5935276679841897,0.3656436910041755,0.0694016668226052,0.0190036965887081,0.9809963034112918,0.0,23.416666666666668,0.523049645390071,,6.0253143720221,6.0253143720221,0.9077470211131544,all conditions
